peak_date,peak_flow
1959-10-27,253.0
1959-12-27,358.0
1960-01-22,276.0
1960-01-31,256.0
1960-11-02,321.0
1960-11-24,286.0
1960-12-04,287.0
1960-12-26,226.0
1961-02-06,180.0
1961-08-26,204.0
1961-10-17,172.0
1961-10-31,198.0
1961-11-30,238.0
1961-12-11,286.0
1962-02-12,323.0
1962-04-02,267.0
1962-08-11,381.0
1962-08-23,276.0
1963-03-06,259.0
1963-03-25,181.0
1963-04-15,173.0
1963-09-09,210.0
1963-10-03,231.0
1963-11-12,325.0
1963-12-30,196.0
1964-05-11,274.0
1964-10-07,198.0
1964-12-12,490.0
1965-01-10,465.0
1965-09-16,173.0
1965-12-09,390.0
1965-12-17,359.0
1966-02-05,284.0
1966-02-23,250.0
1966-11-15,179.0
1966-12-01,317.0
1966-12-19,211.0
1967-02-27,326.0
1967-07-30,333.0
1967-08-18,375.0
1967-09-05,231.0
1967-10-09,498.0
1967-12-23,266.0
1968-01-14,250.0
1968-01-30,194.0
1968-03-23,718.0
1968-04-01,301.0
1968-07-03,200.0
1968-09-12,236.0
1968-10-02,220.0
1968-10-31,269.0
1969-01-21,214.0
1969-03-31,172.0
1969-11-03,227.0
1969-11-11,226.0
1969-12-21,243.0
1970-02-21,297.0
1970-04-22,468.0
1970-09-10,327.0
1970-10-30,289.0
1970-11-23,210.0
1971-02-12,320.0
1971-08-14,212.0
1971-08-29,218.0
1971-10-19,309.0
1972-04-02,225.0
1972-06-18,207.0
1972-07-04,206.0
1972-11-09,343.0
1972-12-01,280.0
1973-04-04,272.0
1973-08-06,202.0
1973-11-09,255.0
1974-02-02,188.0
1974-09-07,270.0
1974-11-10,172.0
1974-12-21,300.0
1975-01-22,429.0
1975-07-22,236.0
1975-09-25,290.0
1975-12-01,235.0
1976-01-02,275.6
1979-01-07,319.0
1979-03-08,318.0
1979-09-26,203.0
1979-11-03,231.0
1979-11-25,401.0
1979-12-27,303.0
1980-02-09,221.0
1980-10-06,281.0
1980-10-27,662.0
1980-11-21,357.0
1980-12-13,246.0
1981-01-02,204.0
1981-01-14,172.0
1981-02-02,278.0
1981-03-07,410.0
1981-03-21,369.0
1981-10-01,373.0
1981-10-09,256.0
1981-11-01,178.0
1981-11-23,230.0
1982-01-03,592.0
1982-03-09,183.0
1982-10-20,220.0
1982-11-12,173.0
1982-11-21,207.0
1982-12-19,229.0
1983-01-06,212.0
1983-01-14,173.0
1983-01-28,252.0
1983-10-16,279.0
1983-12-09,230.0
1983-12-24,194.0
1984-01-11,262.0
1984-10-22,281.0
1984-11-03,315.0
1984-11-12,203.0
1985-07-12,215.0
1985-08-04,213.0
1985-09-21,386.0
1985-12-21,579.0
1986-01-10,212.0
1986-01-19,229.0
1986-03-04,191.0
1986-03-22,259.0
1986-05-25,192.0
1986-10-27,202.0
1986-11-25,325.0
1986-12-03,302.0
1986-12-30,241.0
1987-02-09,200.0
1987-03-27,402.0
1987-06-06,184.0
1987-07-18,199.0
1987-10-18,208.0
1987-12-29,386.0
1988-01-24,210.0
1988-02-01,254.0
1988-07-28,178.0
1988-12-26,309.0
1989-02-18,178.0
1989-03-09,262.0
1989-04-12,183.0
1989-11-10,239.0
1990-01-11,191.0
1990-02-04,253.0
1990-02-19,537.0
1990-10-06,220.0
1990-11-16,192.0
1990-12-26,261.0
1991-02-23,544.0
1991-03-19,198.0
1991-04-02,284.0
1991-11-10,298.0
1991-12-21,381.0
1992-01-05,236.0
1992-02-22,205.0
1992-03-12,211.0
1992-12-02,364.0
1992-12-18,290.0
1993-01-10,215.0
1993-01-28,184.0
1993-04-18,191.0
1993-12-19,329.0
1994-01-25,187.0
1994-03-08,247.0
1994-03-23,342.0
1994-11-13,342.0
1994-12-10,219.0
1994-12-28,472.0
1995-01-31,936.0
1995-02-11,220.0
1995-02-22,284.0
1996-09-29,176.0
1996-11-05,198.0
1997-02-17,349.0
1997-02-28,209.0
1997-05-05,260.0
1997-09-16,230.0
1997-12-10,216.0
1997-12-25,181.0
1998-01-08,308.0
1998-02-11,226.0
1998-03-03,245.0
1998-10-16,238.0
1998-10-24,322.0
1999-01-05,522.0
1999-01-15,285.0
1999-03-02,327.0
1999-10-01,249.0
1999-12-06,515.0
2000-01-11,420.0
2000-01-31,210.0
2000-03-02,348.0
2000-09-27,180.0
2000-10-10,182.0
2000-10-30,396.0
2000-11-28,298.0
2000-12-08,266.0
2001-02-11,353.0
2001-09-27,222.0
2001-10-08,209.0
